lat,lng,count
13.23,77.24,183
14.48,75.93,183
14.45,75.93,183
15.77,75.11,182
13.02,77.72,182
16.19,77.34,182
14.46,75.91,181
12.42,75.74,181
12.97,77.64,180
13.04,77.74,180
13.06,77.47,180
17.91,77.52,180
17.34,76.83,180
12.46,75.96,180
16.82,75.73,180
13.07,77.45,179
14.62,75.63,179
15.37,75.12,179
13.02,77.71,178
12.96,78.27,178
12.44,76.38,178
13.05,77.56,177
13.33,77.1,177
13.06,77.58,176
13.12,77.37,176
13.1,77.4,176
16.21,77.35,176
12.33,76.63,176
15.85,74.52,175
12.29,76.63,175
12.99,77.52,175
13.06,77.65,175
13.93,75.58,175
15.83,74.5,174
13.05,77.63,174
13.08,77.55,173
13.92,75.57,173
15.88,74.51,172
12.93,77.63,172
12.53,76.9,172
13.03,77.88,172
15.36,75.14,172
17.33,76.85,172
13.07,75.0,172
16.52,74.95,170
15.88,74.52,170
12.96,77.71,170
13.0,77.62,170
12.83,77.67,170
14.62,75.62,170
13.03,77.5,169
13.15,77.34,169
13.02,77.69,168
13.33,77.11,168
15.36,75.15,168
12.91,77.54,167
13.02,77.7,167
13.08,77.42,167
12.93,77.6,166
13.08,77.79,166
12.88,77.58,166
12.9,77.56,165
12.88,74.84,165
15.82,74.5,164
13.02,77.64,164
12.89,77.56,164
12.35,76.62,163
12.12,76.12,163
17.34,76.85,163
12.88,74.85,163
12.35,76.63,163
15.25,74.62,163
15.84,74.52,162
13.04,77.62,162
15.44,75.64,162
16.16,74.82,161
12.97,77.66,161
13.3,77.54,161
13.2,77.71,161
12.31,76.64,161
17.35,76.82,160
15.84,74.51,159
14.48,75.91,159
13.34,77.12,159
15.82,74.86,158
12.88,77.75,158
12.86,74.83,158
15.35,75.12,158
12.82,74.86,158
13.02,77.51,157
12.79,77.74,157
13.44,77.73,157
16.84,75.72,157
13.05,77.57,156
12.99,77.46,156
12.88,77.6,156
15.35,76.16,156
15.34,75.12,156
15.34,75.11,155
13.33,77.12,154
12.52,77.37,154
12.9,76.39,154
15.47,75.01,154
16.2,77.36,154
12.87,77.65,153
12.96,77.67,153
13.03,77.63,153
13.05,77.75,153
14.46,75.93,153
13.03,77.64,152
13.06,77.63,152
13.0,77.68,152
12.94,77.74,152
13.2,77.9,152
12.35,76.61,152
12.92,77.63,151
13.94,75.56,151
12.89,74.85,151
12.0,74.0,151
16.4,74.38,150
12.89,77.64,150
13.03,77.62,150
12.78,77.78,150
16.7,76.84,150
12.94,77.59,149
15.35,76.15,149
12.29,76.65,148
13.06,77.48,148
15.44,76.53,148
13.85,75.71,148
17.77,77.13,147
14.47,75.93,147
17.31,76.82,147
14.62,74.84,147
12.98,77.64,146
12.97,77.75,146
12.32,76.69,146
15.77,76.76,146
16.85,75.71,146
12.59,77.34,145
12.91,77.49,145
13.04,77.71,145
18.05,77.22,145
15.46,75.02,145
13.35,74.78,145
15.86,74.53,144
17.92,77.52,144
14.45,75.92,144
12.53,76.89,144
16.21,77.36,144
17.17,75.96,144
17.35,76.85,143
12.9,74.84,143
12.55,77.42,142
12.91,77.59,142
13.07,77.56,142
13.01,77.5,142
15.37,75.14,142
12.85,77.65,141
12.16,77.11,141
15.43,75.64,141
12.9,77.6,140
13.06,77.55,140
12.81,77.58,140
13.09,77.41,140
13.02,77.65,139
15.46,75.0,139
13.31,77.15,139
13.1,77.59,138
13.03,77.03,138
12.76,75.2,138
15.35,75.1,138
