lat,lng,count
12.99,77.73,54
13.16,77.57,54
12.98,77.74,54
13.23,77.55,54
18.25,77.41,54
13.34,74.79,54
15.32,75.12,54
15.34,75.16,54
12.48,75.96,54
15.37,76.34,54
15.49,75.99,54
12.82,74.88,54
13.08,74.8,54
13.07,74.8,54
13.34,77.13,54
15.16,76.35,54
16.65,75.81,54
16.18,75.66,53
15.87,74.61,53
16.16,74.81,53
12.88,77.67,53
12.81,77.68,53
13.07,77.55,53
13.07,77.57,53
13.11,77.57,53
12.87,77.54,53
12.2,77.71,53
12.98,77.79,53
13.25,77.8,53
12.79,77.63,53
12.76,75.21,53
12.73,75.22,53
14.23,75.66,53
12.98,76.22,53
15.46,74.97,53
15.3,76.32,53
12.95,74.82,53
13.43,74.74,53
14.54,75.01,53
17.18,75.94,53
16.06,75.94,52
15.15,76.93,52
15.95,74.52,52
16.72,75.07,52
12.9,77.59,52
12.93,77.7,52
14.34,74.89,52
12.86,77.53,52
13.16,77.61,52
12.51,77.36,52
12.88,77.66,52
12.82,77.58,52
13.14,77.32,52
12.78,77.7,52
12.16,77.1,52
13.61,77.51,52
13.42,75.25,52
14.48,75.8,52
15.56,75.36,52
15.54,75.05,52
15.51,74.98,52
15.09,75.29,52
17.06,76.99,52
16.21,77.34,52
12.77,74.87,52
12.12,76.16,52
16.36,77.35,52
13.92,75.07,52
13.32,76.86,52
13.44,77.06,52
16.85,75.73,52
16.47,75.69,52
16.93,75.38,52
16.26,74.81,51
16.27,74.87,51
13.25,77.25,51
13.03,77.66,51
12.87,77.64,51
12.9,77.7,51
12.55,77.25,51
13.31,77.53,51
12.93,77.47,51
13.95,75.55,51
12.7,77.71,51
12.81,77.71,51
12.81,77.66,51
17.89,77.52,51
12.03,77.59,51
13.35,75.47,51
12.81,74.91,51
12.77,76.06,51
12.96,78.26,51
17.3,76.81,51
15.35,76.14,51
12.28,76.64,51
13.19,78.02,51
15.87,76.04,51
15.77,76.4,51
12.88,74.88,51
16.17,77.02,51
13.64,76.94,51
13.66,77.22,51
13.39,77.09,51
13.36,74.74,51
15.26,74.61,51
