review_month,section,category,subtype,row_type,ytd,same_month_prev_year,prev_month,current_month,yoy_change,yoy_pct,mom_change,mom_pct,spike_score,trend
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Snatching,subtype,543,57,29,47,-10,-17.5,18,62.1,0.45,rising
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),At ATM,subtype,25,3,0,1,-2,-66.7,1,,-0.67,falling
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Sand,subtype,1293,119,105,122,3,2.5,17,16.2,0.19,rising
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Government Office,subtype,32,4,1,2,-2,-50.0,1,100.0,0.5,falling
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Mines,subtype,101,2,10,8,6,300.0,-2,-20.0,2.8,rising
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Communication And Elec. Wire,subtype,295,23,29,34,11,47.8,5,17.2,0.65,rising
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Cattle,subtype,544,34,43,41,7,20.6,-2,-4.7,0.16,rising
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Cycle,subtype,28,2,2,0,-2,-100.0,-2,-100.0,-2.0,falling
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Automobiles - Of Lorries/Trucks,subtype,116,7,14,9,2,28.6,-5,-35.7,-0.07,falling
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Automobiles - Of Buses,subtype,3,2,1,1,-1,-50.0,0,0.0,-0.5,falling
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Automobiles - Of Cars / Jeeps,subtype,250,31,16,18,-13,-41.9,2,12.5,-0.29,falling
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Automobiles - Of Two Wheelers,subtype,8860,841,715,747,-94,-11.2,32,4.5,-0.07,falling
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Automobies - of Three Wheelers,subtype,227,30,18,17,-13,-43.3,-1,-5.6,-0.49,falling
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Accessories of Motor Vehicle,subtype,226,26,13,16,-10,-38.5,3,23.1,-0.15,falling
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Govt. Vehicle,subtype,2,0,0,0,0,,0,,0.0,stable
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",subtype,985,98,67,78,-20,-20.4,11,16.4,-0.04,falling
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Fire Arms,subtype,9,1,0,0,-1,-100.0,0,,-1.0,falling
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Explosives,subtype,1,0,0,0,0,,0,,0.0,stable
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Cultural - Idols,subtype,11,2,1,0,-2,-100.0,-1,-100.0,-2.0,falling
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Cultural - Painting,subtype,0,1,0,0,-1,-100.0,0,,-1.0,falling
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Cultrual - Others,subtype,253,22,26,20,-2,-9.1,-6,-23.1,-0.32,falling
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Cash,subtype,510,51,43,43,-8,-15.7,0,0.0,-0.16,falling
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Jewellery,subtype,1478,147,122,122,-25,-17.0,0,0.0,-0.17,falling
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Other Items Not Included Above,subtype,1706,156,161,179,23,14.7,18,11.2,0.26,rising
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),In Running Train,subtype,44,6,1,3,-3,-50.0,2,200.0,1.5,falling
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Extortion,subtype,283,22,28,21,-1,-4.5,-7,-25.0,-0.29,falling
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),House Theft,subtype,1936,141,167,182,41,29.1,15,9.0,0.38,rising
2025-12,IPC,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Servant Theft,subtype,527,39,51,42,3,7.7,-9,-17.6,-0.1,falling
2025-12,IPC,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Land Dispute,subtype,1045,69,89,94,25,36.2,5,5.6,0.42,rising
2025-12,IPC,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Employee - Govt.,subtype,3,0,0,1,1,,1,,0.0,rising
2025-12,IPC,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Labour - Private Sector,subtype,2,0,0,1,1,,1,,0.0,rising
2025-12,IPC,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Labour - Public Sector,subtype,1,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Linguistic,subtype,3,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Political,subtype,5,7,0,1,-6,-85.7,1,,-0.86,falling
2025-12,IPC,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Regional,subtype,4,0,0,1,1,,1,,0.0,rising
2025-12,IPC,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Sectarian,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Students,subtype,2,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Tribal,subtype,0,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Due to Village Disputes,subtype,12,0,0,1,1,,1,,0.0,rising
2025-12,IPC,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Communal,subtype,4,0,0,0,0,,0,,0.0,stable
2025-12,IPC,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Industrial,subtype,5,0,2,0,0,,-2,-100.0,-1.0,falling
